Student S10012 named Joseph Smith, age 12, gender Female, is in Class 10. Scored 83 in Math, 84 in Science, 37 in English, 75 in History, and 87 in Computer, totaling 366 marks with Grade C. Attendance stands at 83.67 percent. Participates in Drama as an extracurricular activity.
Student S10014 named Christina Jimenez, age 14, gender Female, is in Class 10. Scored 60 in Math, 58 in Science, 72 in English, 38 in History, and 98 in Computer, totaling 326 marks with Grade C. Attendance stands at 74.69 percent. Participates in Football as an extracurricular activity.
Student S10035 named Ray Diaz, age 11, gender Male, is in Class 10. Scored 46 in Math, 66 in Science, 43 in English, 63 in History, and 95 in Computer, totaling 313 marks with Grade C. Attendance stands at 63.07 percent. Participates in None as an extracurricular activity.
Student S10038 named Kerry Walters, age 10, gender Male, is in Class 10. Scored 61 in Math, 82 in Science, 61 in English, 40 in History, and 77 in Computer, totaling 321 marks with Grade C. Attendance stands at 77.43 percent. Participates in Dance as an extracurricular activity.
Student S10049 named Joseph Morse, age 15, gender Male, is in Class 10. Scored 33 in Math, 33 in Science, 45 in English, 50 in History, and 75 in Computer, totaling 236 marks with Grade D. Attendance stands at 77.70 percent. Participates in Drama as an extracurricular activity.
Student S10063 named Natalie Patterson, age 15, gender Male, is in Class 10. Scored 74 in Math, 52 in Science, 76 in English, 76 in History, and 76 in Computer, totaling 354 marks with Grade C. Attendance stands at 67.19 percent. Participates in Music as an extracurricular activity.
Student S10070 named Meredith Anderson, age 13, gender Female, is in Class 10. Scored 59 in Math, 89 in Science, 91 in English, 37 in History, and 46 in Computer, totaling 322 marks with Grade C. Attendance stands at 93.34 percent. Participates in Music as an extracurricular activity.
Student S10071 named William Murphy, age 13, gender Male, is in Class 10. Scored 67 in Math, 83 in Science, 66 in English, 71 in History, and 45 in Computer, totaling 332 marks with Grade C. Attendance stands at 77.13 percent. Participates in None as an extracurricular activity.
Student S10077 named Candace Fox, age 10, gender Male, is in Class 10. Scored 48 in Math, 58 in Science, 31 in English, 98 in History, and 49 in Computer, totaling 284 marks with Grade D. Attendance stands at 86.90 percent. Participates in None as an extracurricular activity.
Student S10084 named Adam Sullivan, age 15, gender Female, is in Class 10. Scored 65 in Math, 65 in Science, 66 in English, 44 in History, and 61 in Computer, totaling 301 marks with Grade C. Attendance stands at 96.01 percent. Participates in Drama as an extracurricular activity.
Student S10089 named Jennifer Stevens, age 14, gender Male, is in Class 10. Scored 58 in Math, 55 in Science, 68 in English, 93 in History, and 70 in Computer, totaling 344 marks with Grade C. Attendance stands at 64.33 percent. Participates in None as an extracurricular activity.
Student S10097 named Mrs. Rebekah Snyder DVM, age 16, gender Male, is in Class 10. Scored 75 in Math, 60 in Science, 67 in English, 80 in History, and 34 in Computer, totaling 316 marks with Grade C. Attendance stands at 74.05 percent. Participates in Music as an extracurricular activity.
Student S10103 named Haley Lewis, age 10, gender Male, is in Class 10. Scored 57 in Math, 74 in Science, 49 in English, 98 in History, and 89 in Computer, totaling 367 marks with Grade C. Attendance stands at 88.68 percent. Participates in None as an extracurricular activity.
Student S10116 named Rachel Poole, age 13, gender Male, is in Class 10. Scored 70 in Math, 32 in Science, 45 in English, 45 in History, and 76 in Computer, totaling 268 marks with Grade D. Attendance stands at 79.88 percent. Participates in Drama as an extracurricular activity.
Student S10126 named Sarah Richardson, age 10, gender Female, is in Class 10. Scored 49 in Math, 32 in Science, 30 in English, 41 in History, and 38 in Computer, totaling 190 marks with Grade F. Attendance stands at 77.40 percent. Participates in Dance as an extracurricular activity.
Student S10132 named Sheila Greene, age 17, gender Male, is in Class 10. Scored 99 in Math, 49 in Science, 53 in English, 79 in History, and 48 in Computer, totaling 328 marks with Grade C. Attendance stands at 83.64 percent. Participates in Football as an extracurricular activity.
Student S10144 named Luis Adkins, age 10, gender Male, is in Class 10. Scored 45 in Math, 38 in Science, 52 in English, 87 in History, and 53 in Computer, totaling 275 marks with Grade D. Attendance stands at 95.91 percent. Participates in Drama as an extracurricular activity.
Student S10147 named Dr. Andrew Myers DDS, age 15, gender Female, is in Class 10. Scored 70 in Math, 34 in Science, 64 in English, 90 in History, and 35 in Computer, totaling 293 marks with Grade D. Attendance stands at 78.11 percent. Participates in Drama as an extracurricular activity.
Student S10149 named Jessica Gallegos, age 16, gender Male, is in Class 10. Scored 80 in Math, 80 in Science, 78 in English, 75 in History, and 51 in Computer, totaling 364 marks with Grade C. Attendance stands at 62.13 percent. Participates in None as an extracurricular activity.
Student S10155 named Terri Lang, age 16, gender Female, is in Class 10. Scored 78 in Math, 37 in Science, 47 in English, 51 in History, and 31 in Computer, totaling 244 marks with Grade D. Attendance stands at 79.31 percent. Participates in Drama as an extracurricular activity.
Student S10174 named Maria Carson, age 17, gender Female, is in Class 10. Scored 45 in Math, 98 in Science, 41 in English, 56 in History, and 89 in Computer, totaling 329 marks with Grade C. Attendance stands at 94.62 percent. Participates in Music as an extracurricular activity.
Student S10175 named Daniel Moss, age 17, gender Female, is in Class 10. Scored 88 in Math, 88 in Science, 39 in English, 96 in History, and 63 in Computer, totaling 374 marks with Grade C. Attendance stands at 66.03 percent. Participates in None as an extracurricular activity.
Student S10177 named Katelyn Cooper, age 14, gender Female, is in Class 10. Scored 63 in Math, 90 in Science, 41 in English, 85 in History, and 98 in Computer, totaling 377 marks with Grade C. Attendance stands at 91.13 percent. Participates in Dance as an extracurricular activity.
Student S10179 named Loretta Kelley, age 11, gender Male, is in Class 10. Scored 85 in Math, 69 in Science, 73 in English, 44 in History, and 61 in Computer, totaling 332 marks with Grade C. Attendance stands at 70.16 percent. Participates in Dance as an extracurricular activity.
Student S10187 named Amanda Dawson, age 13, gender Male, is in Class 10. Scored 38 in Math, 49 in Science, 32 in English, 66 in History, and 39 in Computer, totaling 224 marks with Grade D. Attendance stands at 99.52 percent. Participates in None as an extracurricular activity.
Student S10192 named Todd Logan, age 10, gender Male, is in Class 10. Scored 53 in Math, 63 in Science, 79 in English, 86 in History, and 39 in Computer, totaling 320 marks with Grade C. Attendance stands at 90.82 percent. Participates in Dance as an extracurricular activity.
Student S10210 named Diana Massey, age 12, gender Male, is in Class 10. Scored 75 in Math, 81 in Science, 60 in English, 93 in History, and 91 in Computer, totaling 400 marks with Grade C. Attendance stands at 78.06 percent. Participates in None as an extracurricular activity.
Student S10219 named Maurice Smith, age 17, gender Female, is in Class 10. Scored 76 in Math, 95 in Science, 45 in English, 33 in History, and 34 in Computer, totaling 283 marks with Grade D. Attendance stands at 99.21 percent. Participates in Music as an extracurricular activity.
Student S10220 named Curtis Hansen, age 13, gender Male, is in Class 10. Scored 85 in Math, 58 in Science, 63 in English, 49 in History, and 53 in Computer, totaling 308 marks with Grade C. Attendance stands at 71.98 percent. Participates in Music as an extracurricular activity.
Student S10227 named Randall Curtis, age 10, gender Male, is in Class 10. Scored 34 in Math, 53 in Science, 90 in English, 44 in History, and 94 in Computer, totaling 315 marks with Grade C. Attendance stands at 79.98 percent. Participates in Music as an extracurricular activity.
Student S10238 named Cindy Williams, age 16, gender Female, is in Class 10. Scored 49 in Math, 99 in Science, 62 in English, 57 in History, and 32 in Computer, totaling 299 marks with Grade D. Attendance stands at 88.49 percent. Participates in Drama as an extracurricular activity.
Student S10245 named Jacqueline Mendoza, age 16, gender Male, is in Class 10. Scored 48 in Math, 83 in Science, 62 in English, 64 in History, and 35 in Computer, totaling 292 marks with Grade D. Attendance stands at 83.67 percent. Participates in Football as an extracurricular activity.
Student S10248 named Chelsea Becker, age 11, gender Male, is in Class 10. Scored 79 in Math, 65 in Science, 48 in English, 45 in History, and 88 in Computer, totaling 325 marks with Grade C. Attendance stands at 61.04 percent. Participates in Music as an extracurricular activity.
Student S10269 named Mr. Caleb Aguilar, age 13, gender Female, is in Class 10. Scored 91 in Math, 73 in Science, 93 in English, 57 in History, and 78 in Computer, totaling 392 marks with Grade C. Attendance stands at 77.79 percent. Participates in Drama as an extracurricular activity.
Student S10270 named John Humphrey, age 14, gender Female, is in Class 10. Scored 96 in Math, 93 in Science, 72 in English, 63 in History, and 89 in Computer, totaling 413 marks with Grade B. Attendance stands at 98.75 percent. Participates in Dance as an extracurricular activity.
Student S10272 named Robert Ramirez, age 10, gender Female, is in Class 10. Scored 76 in Math, 54 in Science, 38 in English, 47 in History, and 72 in Computer, totaling 287 marks with Grade D. Attendance stands at 80.92 percent. Participates in Football as an extracurricular activity.
Student S10287 named John Myers, age 14, gender Female, is in Class 10. Scored 73 in Math, 68 in Science, 50 in English, 62 in History, and 72 in Computer, totaling 325 marks with Grade C. Attendance stands at 75.88 percent. Participates in Football as an extracurricular activity.
Student S10288 named Caleb Thompson, age 17, gender Female, is in Class 10. Scored 30 in Math, 87 in Science, 73 in English, 30 in History, and 62 in Computer, totaling 282 marks with Grade D. Attendance stands at 83.61 percent. Participates in None as an extracurricular activity.
Student S10293 named Earl Johnson, age 10, gender Female, is in Class 10. Scored 54 in Math, 65 in Science, 64 in English, 71 in History, and 70 in Computer, totaling 324 marks with Grade C. Attendance stands at 83.70 percent. Participates in None as an extracurricular activity.
Student S10300 named Samantha Brennan, age 11, gender Female, is in Class 10. Scored 87 in Math, 83 in Science, 40 in English, 99 in History, and 44 in Computer, totaling 353 marks with Grade C. Attendance stands at 81.64 percent. Participates in Football as an extracurricular activity.
Student S10302 named Laura Blankenship, age 17, gender Female, is in Class 10. Scored 34 in Math, 60 in Science, 63 in English, 38 in History, and 70 in Computer, totaling 265 marks with Grade D. Attendance stands at 82.09 percent. Participates in Debate as an extracurricular activity.
Student S10310 named Calvin Thomas, age 15, gender Male, is in Class 10. Scored 57 in Math, 58 in Science, 35 in English, 65 in History, and 61 in Computer, totaling 276 marks with Grade D. Attendance stands at 71.45 percent. Participates in Debate as an extracurricular activity.
