Student S10000 named Brianna Smith, age 16, gender Female, is in Class 12. Scored 47 in Math, 85 in Science, 67 in English, 68 in History, and 81 in Computer, totaling 348 marks with Grade C. Attendance stands at 61.70 percent. Participates in None as an extracurricular activity.
Student S10018 named Danielle Martinez, age 15, gender Male, is in Class 12. Scored 40 in Math, 97 in Science, 37 in English, 33 in History, and 48 in Computer, totaling 255 marks with Grade D. Attendance stands at 79.86 percent. Participates in Football as an extracurricular activity.
Student S10046 named Nathan Crawford III, age 13, gender Female, is in Class 12. Scored 39 in Math, 42 in Science, 36 in English, 63 in History, and 70 in Computer, totaling 250 marks with Grade D. Attendance stands at 65.80 percent. Participates in None as an extracurricular activity.
Student S10060 named Clayton Howard, age 13, gender Female, is in Class 12. Scored 64 in Math, 56 in Science, 64 in English, 45 in History, and 85 in Computer, totaling 314 marks with Grade C. Attendance stands at 62.29 percent. Participates in Football as an extracurricular activity.
Student S10074 named Christine Carter, age 16, gender Female, is in Class 12. Scored 35 in Math, 90 in Science, 70 in English, 82 in History, and 67 in Computer, totaling 344 marks with Grade C. Attendance stands at 78.86 percent. Participates in Music as an extracurricular activity.
Student S10078 named Tina Holder, age 16, gender Male, is in Class 12. Scored 68 in Math, 80 in Science, 92 in English, 59 in History, and 77 in Computer, totaling 376 marks with Grade C. Attendance stands at 75.59 percent. Participates in Football as an extracurricular activity.
Student S10085 named Savannah Brown, age 11, gender Male, is in Class 12. Scored 99 in Math, 86 in Science, 66 in English, 74 in History, and 73 in Computer, totaling 398 marks with Grade C. Attendance stands at 80.29 percent. Participates in None as an extracurricular activity.
Student S10086 named Bonnie Foster, age 10, gender Female, is in Class 12. Scored 30 in Math, 79 in Science, 47 in English, 80 in History, and 81 in Computer, totaling 317 marks with Grade C. Attendance stands at 66.19 percent. Participates in None as an extracurricular activity.
Student S10087 named Cynthia Ruiz, age 11, gender Male, is in Class 12. Scored 93 in Math, 96 in Science, 48 in English, 65 in History, and 81 in Computer, totaling 383 marks with Grade C. Attendance stands at 87.10 percent. Participates in None as an extracurricular activity.
Student S10095 named Whitney Nguyen, age 15, gender Female, is in Class 12. Scored 74 in Math, 36 in Science, 57 in English, 74 in History, and 84 in Computer, totaling 325 marks with Grade C. Attendance stands at 81.02 percent. Participates in Football as an extracurricular activity.
Student S10096 named Madison Mann, age 14, gender Male, is in Class 12. Scored 39 in Math, 65 in Science, 55 in English, 66 in History, and 51 in Computer, totaling 276 marks with Grade D. Attendance stands at 71.99 percent. Participates in Drama as an extracurricular activity.
Student S10105 named Nancy Cox, age 13, gender Female, is in Class 12. Scored 58 in Math, 98 in Science, 40 in English, 60 in History, and 56 in Computer, totaling 312 marks with Grade C. Attendance stands at 85.45 percent. Participates in Drama as an extracurricular activity.
Student S10107 named Christine Smith, age 10, gender Male, is in Class 12. Scored 76 in Math, 63 in Science, 41 in English, 76 in History, and 86 in Computer, totaling 342 marks with Grade C. Attendance stands at 96.58 percent. Participates in Music as an extracurricular activity.
Student S10110 named Nicole Shepherd, age 16, gender Female, is in Class 12. Scored 56 in Math, 31 in Science, 48 in English, 56 in History, and 46 in Computer, totaling 237 marks with Grade D. Attendance stands at 68.44 percent. Participates in Music as an extracurricular activity.
Student S10119 named Rachel Soto, age 14, gender Female, is in Class 12. Scored 32 in Math, 77 in Science, 93 in English, 60 in History, and 46 in Computer, totaling 308 marks with Grade C. Attendance stands at 81.13 percent. Participates in Music as an extracurricular activity.
Student S10120 named James Smith, age 16, gender Female, is in Class 12. Scored 44 in Math, 88 in Science, 46 in English, 71 in History, and 75 in Computer, totaling 324 marks with Grade C. Attendance stands at 62.95 percent. Participates in Debate as an extracurricular activity.
Student S10121 named Victor Smith, age 15, gender Male, is in Class 12. Scored 85 in Math, 71 in Science, 96 in English, 97 in History, and 93 in Computer, totaling 442 marks with Grade B. Attendance stands at 97.95 percent. Participates in Music as an extracurricular activity.
Student S10137 named Connor Cole, age 11, gender Male, is in Class 12. Scored 85 in Math, 80 in Science, 31 in English, 46 in History, and 55 in Computer, totaling 297 marks with Grade D. Attendance stands at 78.94 percent. Participates in None as an extracurricular activity.
Student S10141 named Frank Hughes, age 15, gender Female, is in Class 12. Scored 84 in Math, 90 in Science, 30 in English, 94 in History, and 99 in Computer, totaling 397 marks with Grade C. Attendance stands at 81.53 percent. Participates in Football as an extracurricular activity.
Student S10143 named David Dawson, age 11, gender Male, is in Class 12. Scored 69 in Math, 51 in Science, 88 in English, 41 in History, and 39 in Computer, totaling 288 marks with Grade D. Attendance stands at 66.16 percent. Participates in Drama as an extracurricular activity.
Student S10151 named Michael Lewis, age 12, gender Male, is in Class 12. Scored 68 in Math, 32 in Science, 93 in English, 47 in History, and 43 in Computer, totaling 283 marks with Grade D. Attendance stands at 92.23 percent. Participates in None as an extracurricular activity.
Student S10176 named Zachary Higgins, age 12, gender Female, is in Class 12. Scored 78 in Math, 34 in Science, 88 in English, 52 in History, and 85 in Computer, totaling 337 marks with Grade C. Attendance stands at 65.70 percent. Participates in Debate as an extracurricular activity.
Student S10182 named Ryan Peters, age 16, gender Female, is in Class 12. Scored 86 in Math, 71 in Science, 85 in English, 69 in History, and 47 in Computer, totaling 358 marks with Grade C. Attendance stands at 76.49 percent. Participates in Drama as an extracurricular activity.
Student S10189 named Joel Hardy, age 10, gender Female, is in Class 12. Scored 90 in Math, 35 in Science, 78 in English, 38 in History, and 47 in Computer, totaling 288 marks with Grade D. Attendance stands at 92.73 percent. Participates in Dance as an extracurricular activity.
Student S10197 named Jared Freeman, age 16, gender Male, is in Class 12. Scored 85 in Math, 35 in Science, 42 in English, 75 in History, and 71 in Computer, totaling 308 marks with Grade C. Attendance stands at 83.73 percent. Participates in None as an extracurricular activity.
Student S10200 named Claudia Diaz, age 11, gender Male, is in Class 12. Scored 37 in Math, 75 in Science, 46 in English, 63 in History, and 30 in Computer, totaling 251 marks with Grade D. Attendance stands at 70.27 percent. Participates in Dance as an extracurricular activity.
Student S10209 named Diana Wilson, age 10, gender Female, is in Class 12. Scored 87 in Math, 99 in Science, 46 in English, 90 in History, and 53 in Computer, totaling 375 marks with Grade C. Attendance stands at 90.68 percent. Participates in Debate as an extracurricular activity.
Student S10212 named Christina Swanson, age 14, gender Female, is in Class 12. Scored 78 in Math, 69 in Science, 96 in English, 81 in History, and 56 in Computer, totaling 380 marks with Grade C. Attendance stands at 61.54 percent. Participates in Football as an extracurricular activity.
Student S10215 named Steven Noble, age 13, gender Female, is in Class 12. Scored 81 in Math, 87 in Science, 32 in English, 50 in History, and 45 in Computer, totaling 295 marks with Grade D. Attendance stands at 72.51 percent. Participates in Football as an extracurricular activity.
Student S10222 named Brendan Price, age 13, gender Male, is in Class 12. Scored 69 in Math, 94 in Science, 59 in English, 97 in History, and 44 in Computer, totaling 363 marks with Grade C. Attendance stands at 90.90 percent. Participates in Debate as an extracurricular activity.
Student S10223 named Paul Munoz, age 14, gender Female, is in Class 12. Scored 52 in Math, 66 in Science, 41 in English, 80 in History, and 76 in Computer, totaling 315 marks with Grade C. Attendance stands at 87.76 percent. Participates in Dance as an extracurricular activity.
Student S10234 named Thomas Weiss, age 15, gender Male, is in Class 12. Scored 43 in Math, 78 in Science, 85 in English, 78 in History, and 53 in Computer, totaling 337 marks with Grade C. Attendance stands at 92.16 percent. Participates in Dance as an extracurricular activity.
Student S10241 named Travis Hernandez PhD, age 10, gender Female, is in Class 12. Scored 77 in Math, 45 in Science, 54 in English, 43 in History, and 52 in Computer, totaling 271 marks with Grade D. Attendance stands at 89.97 percent. Participates in Football as an extracurricular activity.
