Student S10008 named Valerie Smith, age 16, gender Female, is in Class 5. Scored 31 in Math, 85 in Science, 42 in English, 73 in History, and 43 in Computer, totaling 274 marks with Grade D. Attendance stands at 81.02 percent. Participates in Debate as an extracurricular activity.
Student S10017 named Anthony Cook, age 11, gender Male, is in Class 5. Scored 94 in Math, 51 in Science, 51 in English, 86 in History, and 96 in Computer, totaling 378 marks with Grade C. Attendance stands at 81.53 percent. Participates in Debate as an extracurricular activity.
Student S10022 named Karen Jenkins, age 13, gender Female, is in Class 5. Scored 54 in Math, 40 in Science, 95 in English, 98 in History, and 89 in Computer, totaling 376 marks with Grade C. Attendance stands at 72.19 percent. Participates in Football as an extracurricular activity.
Student S10031 named Angela Rice, age 17, gender Male, is in Class 5. Scored 83 in Math, 83 in Science, 45 in English, 44 in History, and 70 in Computer, totaling 325 marks with Grade C. Attendance stands at 81.42 percent. Participates in Music as an extracurricular activity.
Student S10044 named Connie Lee, age 13, gender Female, is in Class 5. Scored 79 in Math, 40 in Science, 66 in English, 84 in History, and 59 in Computer, totaling 328 marks with Grade C. Attendance stands at 81.57 percent. Participates in Debate as an extracurricular activity.
Student S10047 named Benjamin Reed, age 10, gender Male, is in Class 5. Scored 60 in Math, 97 in Science, 33 in English, 98 in History, and 31 in Computer, totaling 319 marks with Grade C. Attendance stands at 68.50 percent. Participates in Football as an extracurricular activity.
Student S10051 named Jared Duran, age 11, gender Female, is in Class 5. Scored 35 in Math, 53 in Science, 69 in English, 72 in History, and 54 in Computer, totaling 283 marks with Grade D. Attendance stands at 91.29 percent. Participates in Drama as an extracurricular activity.
Student S10058 named Justin Henderson, age 15, gender Female, is in Class 5. Scored 74 in Math, 94 in Science, 32 in English, 95 in History, and 40 in Computer, totaling 335 marks with Grade C. Attendance stands at 92.25 percent. Participates in Football as an extracurricular activity.
Student S10066 named Scott Smith, age 10, gender Male, is in Class 5. Scored 71 in Math, 76 in Science, 31 in English, 76 in History, and 94 in Computer, totaling 348 marks with Grade C. Attendance stands at 94.75 percent. Participates in Debate as an extracurricular activity.
Student S10069 named Alyssa Gill, age 14, gender Male, is in Class 5. Scored 40 in Math, 50 in Science, 43 in English, 55 in History, and 52 in Computer, totaling 240 marks with Grade D. Attendance stands at 79.76 percent. Participates in Dance as an extracurricular activity.
Student S10083 named Melissa Wilson, age 17, gender Male, is in Class 5. Scored 78 in Math, 33 in Science, 36 in English, 49 in History, and 40 in Computer, totaling 236 marks with Grade D. Attendance stands at 94.18 percent. Participates in None as an extracurricular activity.
Student S10091 named Rhonda Valenzuela, age 17, gender Male, is in Class 5. Scored 60 in Math, 74 in Science, 85 in English, 86 in History, and 89 in Computer, totaling 394 marks with Grade C. Attendance stands at 83.73 percent. Participates in Football as an extracurricular activity.
Student S10101 named Jonathan Martinez, age 14, gender Male, is in Class 5. Scored 35 in Math, 52 in Science, 66 in English, 38 in History, and 43 in Computer, totaling 234 marks with Grade D. Attendance stands at 67.75 percent. Participates in Drama as an extracurricular activity.
Student S10102 named Scott Guzman, age 14, gender Female, is in Class 5. Scored 45 in Math, 89 in Science, 33 in English, 79 in History, and 71 in Computer, totaling 317 marks with Grade C. Attendance stands at 94.20 percent. Participates in Drama as an extracurricular activity.
Student S10113 named Cory Austin, age 16, gender Male, is in Class 5. Scored 68 in Math, 53 in Science, 79 in English, 98 in History, and 54 in Computer, totaling 352 marks with Grade C. Attendance stands at 92.96 percent. Participates in Dance as an extracurricular activity.
Student S10142 named Mckenzie Thomas, age 14, gender Female, is in Class 5. Scored 67 in Math, 85 in Science, 96 in English, 91 in History, and 88 in Computer, totaling 427 marks with Grade B. Attendance stands at 61.15 percent. Participates in Drama as an extracurricular activity.
Student S10148 named Stephen Rodriguez, age 15, gender Female, is in Class 5. Scored 64 in Math, 77 in Science, 48 in English, 87 in History, and 35 in Computer, totaling 311 marks with Grade C. Attendance stands at 75.79 percent. Participates in Dance as an extracurricular activity.
Student S10152 named Nicholas Floyd, age 15, gender Female, is in Class 5. Scored 33 in Math, 82 in Science, 58 in English, 73 in History, and 47 in Computer, totaling 293 marks with Grade D. Attendance stands at 98.10 percent. Participates in Football as an extracurricular activity.
Student S10157 named Andrea Bray, age 13, gender Female, is in Class 5. Scored 74 in Math, 36 in Science, 34 in English, 74 in History, and 37 in Computer, totaling 255 marks with Grade D. Attendance stands at 78.31 percent. Participates in Debate as an extracurricular activity.
Student S10185 named Joshua Foster, age 16, gender Female, is in Class 5. Scored 67 in Math, 78 in Science, 81 in English, 95 in History, and 71 in Computer, totaling 392 marks with Grade C. Attendance stands at 92.67 percent. Participates in Dance as an extracurricular activity.
Student S10198 named Patricia Smith, age 11, gender Female, is in Class 5. Scored 57 in Math, 66 in Science, 74 in English, 88 in History, and 44 in Computer, totaling 329 marks with Grade C. Attendance stands at 84.54 percent. Participates in Football as an extracurricular activity.
Student S10205 named Mark Davis, age 12, gender Male, is in Class 5. Scored 39 in Math, 37 in Science, 78 in English, 43 in History, and 79 in Computer, totaling 276 marks with Grade D. Attendance stands at 65.93 percent. Participates in Debate as an extracurricular activity.
Student S10207 named Gregory Adams, age 10, gender Female, is in Class 5. Scored 82 in Math, 33 in Science, 91 in English, 95 in History, and 74 in Computer, totaling 375 marks with Grade C. Attendance stands at 84.79 percent. Participates in Drama as an extracurricular activity.
Student S10213 named Keith Ewing, age 13, gender Male, is in Class 5. Scored 39 in Math, 47 in Science, 94 in English, 86 in History, and 35 in Computer, totaling 301 marks with Grade C. Attendance stands at 77.58 percent. Participates in None as an extracurricular activity.
Student S10216 named James Barton, age 11, gender Male, is in Class 5. Scored 82 in Math, 31 in Science, 71 in English, 42 in History, and 57 in Computer, totaling 283 marks with Grade D. Attendance stands at 60.79 percent. Participates in Debate as an extracurricular activity.
Student S10235 named Colin Thompson, age 15, gender Female, is in Class 5. Scored 34 in Math, 30 in Science, 60 in English, 50 in History, and 72 in Computer, totaling 246 marks with Grade D. Attendance stands at 74.84 percent. Participates in Dance as an extracurricular activity.
Student S10246 named Gary Garcia, age 10, gender Female, is in Class 5. Scored 54 in Math, 94 in Science, 73 in English, 91 in History, and 82 in Computer, totaling 394 marks with Grade C. Attendance stands at 76.28 percent. Participates in Drama as an extracurricular activity.
Student S10249 named Nathan Anderson, age 13, gender Female, is in Class 5. Scored 89 in Math, 65 in Science, 89 in English, 99 in History, and 53 in Computer, totaling 395 marks with Grade C. Attendance stands at 82.22 percent. Participates in Debate as an extracurricular activity.
Student S10276 named Jesus Vega, age 13, gender Male, is in Class 5. Scored 59 in Math, 32 in Science, 62 in English, 43 in History, and 34 in Computer, totaling 230 marks with Grade D. Attendance stands at 97.89 percent. Participates in Debate as an extracurricular activity.
Student S10284 named Kelly Gomez, age 14, gender Male, is in Class 5. Scored 50 in Math, 81 in Science, 73 in English, 57 in History, and 54 in Computer, totaling 315 marks with Grade C. Attendance stands at 84.06 percent. Participates in Debate as an extracurricular activity.
Student S10295 named Crystal Hinton, age 16, gender Female, is in Class 5. Scored 34 in Math, 55 in Science, 95 in English, 40 in History, and 40 in Computer, totaling 264 marks with Grade D. Attendance stands at 85.81 percent. Participates in Music as an extracurricular activity.
Student S10297 named Mr. Corey Lopez, age 12, gender Female, is in Class 5. Scored 49 in Math, 68 in Science, 57 in English, 63 in History, and 67 in Computer, totaling 304 marks with Grade C. Attendance stands at 84.53 percent. Participates in Dance as an extracurricular activity.
Student S10306 named James Moore, age 16, gender Male, is in Class 5. Scored 72 in Math, 97 in Science, 67 in English, 44 in History, and 50 in Computer, totaling 330 marks with Grade C. Attendance stands at 95.00 percent. Participates in Debate as an extracurricular activity.
Student S10311 named Patricia Sanders, age 16, gender Male, is in Class 5. Scored 75 in Math, 51 in Science, 75 in English, 49 in History, and 30 in Computer, totaling 280 marks with Grade D. Attendance stands at 80.41 percent. Participates in None as an extracurricular activity.
Student S10321 named James Branch, age 16, gender Male, is in Class 5. Scored 34 in Math, 70 in Science, 84 in English, 90 in History, and 49 in Computer, totaling 327 marks with Grade C. Attendance stands at 99.95 percent. Participates in Football as an extracurricular activity.
Student S10323 named Jessica Smith, age 13, gender Male, is in Class 5. Scored 92 in Math, 76 in Science, 93 in English, 30 in History, and 49 in Computer, totaling 340 marks with Grade C. Attendance stands at 80.33 percent. Participates in Football as an extracurricular activity.
Student S10330 named Brett Benitez, age 10, gender Female, is in Class 5. Scored 61 in Math, 93 in Science, 93 in English, 43 in History, and 78 in Computer, totaling 368 marks with Grade C. Attendance stands at 71.81 percent. Participates in Music as an extracurricular activity.
Student S10333 named Margaret Lee, age 14, gender Female, is in Class 5. Scored 61 in Math, 80 in Science, 32 in English, 98 in History, and 60 in Computer, totaling 331 marks with Grade C. Attendance stands at 94.29 percent. Participates in Debate as an extracurricular activity.
Student S10336 named Jessica Lopez, age 10, gender Male, is in Class 5. Scored 35 in Math, 71 in Science, 85 in English, 33 in History, and 61 in Computer, totaling 285 marks with Grade D. Attendance stands at 75.59 percent. Participates in Drama as an extracurricular activity.
Student S10383 named Jennifer Johnson, age 11, gender Male, is in Class 5. Scored 61 in Math, 55 in Science, 53 in English, 81 in History, and 91 in Computer, totaling 341 marks with Grade C. Attendance stands at 76.85 percent. Participates in Dance as an extracurricular activity.
Student S10421 named David Johnson, age 11, gender Female, is in Class 5. Scored 31 in Math, 38 in Science, 82 in English, 49 in History, and 32 in Computer, totaling 232 marks with Grade D. Attendance stands at 62.75 percent. Participates in Debate as an extracurricular activity.
Student S10426 named Lisa Parrish, age 17, gender Female, is in Class 5. Scored 91 in Math, 98 in Science, 74 in English, 38 in History, and 96 in Computer, totaling 397 marks with Grade C. Attendance stands at 73.39 percent. Participates in None as an extracurricular activity.
Student S10440 named Michael Swanson, age 17, gender Male, is in Class 5. Scored 83 in Math, 30 in Science, 47 in English, 55 in History, and 77 in Computer, totaling 292 marks with Grade D. Attendance stands at 99.24 percent. Participates in Music as an extracurricular activity.
Student S10472 named Elizabeth Chang, age 12, gender Male, is in Class 5. Scored 74 in Math, 83 in Science, 91 in English, 97 in History, and 37 in Computer, totaling 382 marks with Grade C. Attendance stands at 64.81 percent. Participates in Drama as an extracurricular activity.
Student S10486 named Marissa Schroeder, age 13, gender Female, is in Class 5. Scored 82 in Math, 70 in Science, 49 in English, 83 in History, and 62 in Computer, totaling 346 marks with Grade C. Attendance stands at 84.85 percent. Participates in Football as an extracurricular activity.
Student S10489 named Daniel Martinez, age 16, gender Female, is in Class 5. Scored 45 in Math, 35 in Science, 33 in English, 57 in History, and 78 in Computer, totaling 248 marks with Grade D. Attendance stands at 87.71 percent. Participates in Debate as an extracurricular activity.
Student S10491 named James Sweeney, age 16, gender Female, is in Class 5. Scored 37 in Math, 55 in Science, 52 in English, 99 in History, and 84 in Computer, totaling 327 marks with Grade C. Attendance stands at 71.49 percent. Participates in Debate as an extracurricular activity.
Student S10501 named Sergio Hubbard, age 13, gender Male, is in Class 5. Scored 70 in Math, 53 in Science, 70 in English, 34 in History, and 64 in Computer, totaling 291 marks with Grade D. Attendance stands at 81.01 percent. Participates in Music as an extracurricular activity.
Student S10504 named Jacob Lamb, age 13, gender Male, is in Class 5. Scored 45 in Math, 64 in Science, 74 in English, 94 in History, and 96 in Computer, totaling 373 marks with Grade C. Attendance stands at 99.61 percent. Participates in Music as an extracurricular activity.
