Student S10005 named Tanya Juarez, age 13, gender Male, is in Class 6. Scored 80 in Math, 95 in Science, 38 in English, 66 in History, and 31 in Computer, totaling 310 marks with Grade C. Attendance stands at 72.87 percent. Participates in None as an extracurricular activity.
Student S10006 named Bobby Stevenson, age 16, gender Male, is in Class 6. Scored 60 in Math, 71 in Science, 95 in English, 99 in History, and 35 in Computer, totaling 360 marks with Grade C. Attendance stands at 79.70 percent. Participates in Dance as an extracurricular activity.
Student S10009 named Ryan Aguilar, age 16, gender Female, is in Class 6. Scored 59 in Math, 96 in Science, 44 in English, 96 in History, and 39 in Computer, totaling 334 marks with Grade C. Attendance stands at 88.11 percent. Participates in Football as an extracurricular activity.
Student S10010 named Catherine Garcia, age 16, gender Female, is in Class 6. Scored 65 in Math, 39 in Science, 62 in English, 66 in History, and 46 in Computer, totaling 278 marks with Grade D. Attendance stands at 71.28 percent. Participates in Football as an extracurricular activity.
Student S10013 named Teresa Blake, age 12, gender Male, is in Class 6. Scored 48 in Math, 55 in Science, 93 in English, 67 in History, and 33 in Computer, totaling 296 marks with Grade D. Attendance stands at 70.54 percent. Participates in Debate as an extracurricular activity.
Student S10030 named Christopher Smith, age 13, gender Male, is in Class 6. Scored 34 in Math, 32 in Science, 58 in English, 32 in History, and 64 in Computer, totaling 220 marks with Grade D. Attendance stands at 93.49 percent. Participates in None as an extracurricular activity.
Student S10033 named Susan White, age 13, gender Male, is in Class 6. Scored 64 in Math, 57 in Science, 82 in English, 36 in History, and 49 in Computer, totaling 288 marks with Grade D. Attendance stands at 63.52 percent. Participates in Football as an extracurricular activity.
Student S10039 named Teresa Alexander, age 13, gender Male, is in Class 6. Scored 52 in Math, 81 in Science, 47 in English, 81 in History, and 83 in Computer, totaling 344 marks with Grade C. Attendance stands at 73.38 percent. Participates in Debate as an extracurricular activity.
Student S10072 named Samantha Brown, age 10, gender Female, is in Class 6. Scored 31 in Math, 38 in Science, 60 in English, 50 in History, and 34 in Computer, totaling 213 marks with Grade D. Attendance stands at 85.91 percent. Participates in Music as an extracurricular activity.
Student S10076 named Juan Lynn, age 10, gender Female, is in Class 6. Scored 75 in Math, 45 in Science, 75 in English, 31 in History, and 92 in Computer, totaling 318 marks with Grade C. Attendance stands at 89.61 percent. Participates in Music as an extracurricular activity.
Student S10094 named Shane Gardner, age 16, gender Male, is in Class 6. Scored 46 in Math, 58 in Science, 89 in English, 64 in History, and 50 in Computer, totaling 307 marks with Grade C. Attendance stands at 93.41 percent. Participates in Football as an extracurricular activity.
Student S10100 named Catherine Williams, age 15, gender Female, is in Class 6. Scored 68 in Math, 97 in Science, 79 in English, 65 in History, and 51 in Computer, totaling 360 marks with Grade C. Attendance stands at 93.99 percent. Participates in None as an extracurricular activity.
Student S10111 named Amy Sullivan, age 11, gender Male, is in Class 6. Scored 30 in Math, 58 in Science, 38 in English, 56 in History, and 44 in Computer, totaling 226 marks with Grade D. Attendance stands at 70.02 percent. Participates in Drama as an extracurricular activity.
Student S10115 named Jamie Gardner, age 13, gender Male, is in Class 6. Scored 74 in Math, 65 in Science, 78 in English, 94 in History, and 95 in Computer, totaling 406 marks with Grade B. Attendance stands at 96.74 percent. Participates in Football as an extracurricular activity.
Student S10127 named Connie Davis, age 17, gender Female, is in Class 6. Scored 64 in Math, 69 in Science, 85 in English, 57 in History, and 59 in Computer, totaling 334 marks with Grade C. Attendance stands at 72.85 percent. Participates in None as an extracurricular activity.
Student S10128 named Sarah Osborn, age 12, gender Female, is in Class 6. Scored 89 in Math, 95 in Science, 63 in English, 65 in History, and 48 in Computer, totaling 360 marks with Grade C. Attendance stands at 68.34 percent. Participates in Football as an extracurricular activity.
Student S10131 named Robert Mccoy, age 17, gender Male, is in Class 6. Scored 52 in Math, 94 in Science, 37 in English, 52 in History, and 75 in Computer, totaling 310 marks with Grade C. Attendance stands at 72.00 percent. Participates in Football as an extracurricular activity.
Student S10139 named Ronald Evans, age 10, gender Female, is in Class 6. Scored 41 in Math, 77 in Science, 59 in English, 94 in History, and 85 in Computer, totaling 356 marks with Grade C. Attendance stands at 77.60 percent. Participates in Dance as an extracurricular activity.
Student S10160 named Bradley White, age 14, gender Female, is in Class 6. Scored 79 in Math, 78 in Science, 75 in English, 59 in History, and 60 in Computer, totaling 351 marks with Grade C. Attendance stands at 86.80 percent. Participates in Music as an extracurricular activity.
Student S10165 named David Torres, age 15, gender Male, is in Class 6. Scored 99 in Math, 73 in Science, 66 in English, 68 in History, and 72 in Computer, totaling 378 marks with Grade C. Attendance stands at 79.28 percent. Participates in Football as an extracurricular activity.
Student S10168 named Sara Marshall, age 15, gender Male, is in Class 6. Scored 61 in Math, 97 in Science, 88 in English, 60 in History, and 65 in Computer, totaling 371 marks with Grade C. Attendance stands at 75.72 percent. Participates in Music as an extracurricular activity.
Student S10172 named Ryan Wang, age 14, gender Female, is in Class 6. Scored 63 in Math, 51 in Science, 80 in English, 74 in History, and 78 in Computer, totaling 346 marks with Grade C. Attendance stands at 97.88 percent. Participates in Debate as an extracurricular activity.
Student S10180 named Dawn Dawson, age 15, gender Male, is in Class 6. Scored 31 in Math, 77 in Science, 58 in English, 97 in History, and 70 in Computer, totaling 333 marks with Grade C. Attendance stands at 71.25 percent. Participates in Music as an extracurricular activity.
Student S10193 named Matthew Brown, age 11, gender Male, is in Class 6. Scored 77 in Math, 44 in Science, 48 in English, 93 in History, and 40 in Computer, totaling 302 marks with Grade C. Attendance stands at 86.53 percent. Participates in Drama as an extracurricular activity.
Student S10208 named Lauren Smith, age 16, gender Female, is in Class 6. Scored 32 in Math, 46 in Science, 39 in English, 83 in History, and 44 in Computer, totaling 244 marks with Grade D. Attendance stands at 87.44 percent. Participates in None as an extracurricular activity.
Student S10218 named Bethany Manning, age 13, gender Female, is in Class 6. Scored 40 in Math, 76 in Science, 77 in English, 76 in History, and 53 in Computer, totaling 322 marks with Grade C. Attendance stands at 61.36 percent. Participates in Debate as an extracurricular activity.
Student S10242 named Richard Neal, age 16, gender Female, is in Class 6. Scored 80 in Math, 84 in Science, 63 in English, 89 in History, and 57 in Computer, totaling 373 marks with Grade C. Attendance stands at 64.06 percent. Participates in Music as an extracurricular activity.
Student S10243 named Lisa Beck, age 14, gender Male, is in Class 6. Scored 55 in Math, 30 in Science, 51 in English, 38 in History, and 35 in Computer, totaling 209 marks with Grade D. Attendance stands at 88.51 percent. Participates in Drama as an extracurricular activity.
Student S10252 named Elizabeth Scott, age 14, gender Female, is in Class 6. Scored 81 in Math, 77 in Science, 96 in English, 47 in History, and 37 in Computer, totaling 338 marks with Grade C. Attendance stands at 94.25 percent. Participates in Dance as an extracurricular activity.
Student S10256 named Kyle Miller, age 16, gender Male, is in Class 6. Scored 42 in Math, 63 in Science, 56 in English, 40 in History, and 54 in Computer, totaling 255 marks with Grade D. Attendance stands at 77.44 percent. Participates in Debate as an extracurricular activity.
Student S10264 named Madison Hodges, age 15, gender Female, is in Class 6. Scored 56 in Math, 93 in Science, 95 in English, 35 in History, and 36 in Computer, totaling 315 marks with Grade C. Attendance stands at 63.26 percent. Participates in Debate as an extracurricular activity.
Student S10267 named Ryan Stewart, age 14, gender Male, is in Class 6. Scored 80 in Math, 76 in Science, 39 in English, 90 in History, and 61 in Computer, totaling 346 marks with Grade C. Attendance stands at 61.16 percent. Participates in Football as an extracurricular activity.
Student S10274 named Katherine Ford, age 16, gender Male, is in Class 6. Scored 55 in Math, 86 in Science, 50 in English, 91 in History, and 37 in Computer, totaling 319 marks with Grade C. Attendance stands at 76.26 percent. Participates in Drama as an extracurricular activity.
Student S10283 named Daniel Todd, age 12, gender Female, is in Class 6. Scored 34 in Math, 97 in Science, 44 in English, 76 in History, and 71 in Computer, totaling 322 marks with Grade C. Attendance stands at 94.08 percent. Participates in None as an extracurricular activity.
Student S10292 named Grant Ewing, age 10, gender Female, is in Class 6. Scored 89 in Math, 32 in Science, 93 in English, 66 in History, and 97 in Computer, totaling 377 marks with Grade C. Attendance stands at 97.06 percent. Participates in Debate as an extracurricular activity.
Student S10296 named Kimberly White, age 13, gender Male, is in Class 6. Scored 32 in Math, 87 in Science, 55 in English, 90 in History, and 94 in Computer, totaling 358 marks with Grade C. Attendance stands at 78.71 percent. Participates in Music as an extracurricular activity.
Student S10316 named Peter Blackwell, age 10, gender Male, is in Class 6. Scored 88 in Math, 91 in Science, 32 in English, 56 in History, and 46 in Computer, totaling 313 marks with Grade C. Attendance stands at 60.56 percent. Participates in Debate as an extracurricular activity.
Student S10332 named Timothy Wallace, age 17, gender Female, is in Class 6. Scored 65 in Math, 92 in Science, 97 in English, 48 in History, and 96 in Computer, totaling 398 marks with Grade C. Attendance stands at 71.60 percent. Participates in Football as an extracurricular activity.
Student S10346 named Daniel Villarreal, age 10, gender Female, is in Class 6. Scored 67 in Math, 49 in Science, 40 in English, 33 in History, and 90 in Computer, totaling 279 marks with Grade D. Attendance stands at 91.74 percent. Participates in None as an extracurricular activity.
Student S10350 named Amy Baker, age 15, gender Female, is in Class 6. Scored 37 in Math, 57 in Science, 38 in English, 85 in History, and 36 in Computer, totaling 253 marks with Grade D. Attendance stands at 78.21 percent. Participates in Drama as an extracurricular activity.
Student S10366 named Ashley Le, age 13, gender Female, is in Class 6. Scored 71 in Math, 85 in Science, 54 in English, 67 in History, and 85 in Computer, totaling 362 marks with Grade C. Attendance stands at 64.69 percent. Participates in Debate as an extracurricular activity.
Student S10374 named Caleb King, age 15, gender Female, is in Class 6. Scored 97 in Math, 99 in Science, 48 in English, 40 in History, and 37 in Computer, totaling 321 marks with Grade C. Attendance stands at 90.59 percent. Participates in Dance as an extracurricular activity.
Student S10380 named Devin Olson, age 15, gender Female, is in Class 6. Scored 36 in Math, 44 in Science, 92 in English, 77 in History, and 93 in Computer, totaling 342 marks with Grade C. Attendance stands at 67.15 percent. Participates in None as an extracurricular activity.
Student S10395 named Henry Keller, age 14, gender Female, is in Class 6. Scored 35 in Math, 93 in Science, 50 in English, 43 in History, and 31 in Computer, totaling 252 marks with Grade D. Attendance stands at 82.16 percent. Participates in Dance as an extracurricular activity.
Student S10398 named Mark Harris, age 16, gender Female, is in Class 6. Scored 31 in Math, 37 in Science, 89 in English, 55 in History, and 43 in Computer, totaling 255 marks with Grade D. Attendance stands at 74.40 percent. Participates in Music as an extracurricular activity.
Student S10402 named Nicole Lucero, age 10, gender Male, is in Class 6. Scored 87 in Math, 64 in Science, 64 in English, 78 in History, and 74 in Computer, totaling 367 marks with Grade C. Attendance stands at 77.36 percent. Participates in Drama as an extracurricular activity.
Student S10405 named Kenneth Davis, age 12, gender Male, is in Class 6. Scored 59 in Math, 45 in Science, 90 in English, 33 in History, and 84 in Computer, totaling 311 marks with Grade C. Attendance stands at 61.57 percent. Participates in Music as an extracurricular activity.
Student S10411 named Julia Berry, age 14, gender Female, is in Class 6. Scored 71 in Math, 87 in Science, 71 in English, 54 in History, and 31 in Computer, totaling 314 marks with Grade C. Attendance stands at 79.77 percent. Participates in Debate as an extracurricular activity.
Student S10412 named Hunter Kline, age 15, gender Male, is in Class 6. Scored 45 in Math, 45 in Science, 62 in English, 57 in History, and 97 in Computer, totaling 306 marks with Grade C. Attendance stands at 63.87 percent. Participates in Football as an extracurricular activity.
Student S10415 named Collin Morrow, age 15, gender Female, is in Class 6. Scored 61 in Math, 44 in Science, 57 in English, 76 in History, and 90 in Computer, totaling 328 marks with Grade C. Attendance stands at 99.39 percent. Participates in None as an extracurricular activity.
Student S10418 named Marcus Sexton, age 13, gender Male, is in Class 6. Scored 94 in Math, 85 in Science, 83 in English, 90 in History, and 49 in Computer, totaling 401 marks with Grade B. Attendance stands at 76.72 percent. Participates in Drama as an extracurricular activity.
Student S10420 named Shannon Thompson, age 12, gender Female, is in Class 6. Scored 67 in Math, 38 in Science, 74 in English, 58 in History, and 94 in Computer, totaling 331 marks with Grade C. Attendance stands at 96.05 percent. Participates in None as an extracurricular activity.
Student S10432 named Jason Little, age 17, gender Male, is in Class 6. Scored 59 in Math, 96 in Science, 82 in English, 51 in History, and 62 in Computer, totaling 350 marks with Grade C. Attendance stands at 75.52 percent. Participates in Music as an extracurricular activity.
Student S10434 named Shelly Fernandez, age 17, gender Female, is in Class 6. Scored 52 in Math, 71 in Science, 41 in English, 96 in History, and 90 in Computer, totaling 350 marks with Grade C. Attendance stands at 76.77 percent. Participates in Football as an extracurricular activity.
Student S10435 named Brian Hughes, age 15, gender Female, is in Class 6. Scored 51 in Math, 82 in Science, 70 in English, 37 in History, and 94 in Computer, totaling 334 marks with Grade C. Attendance stands at 71.91 percent. Participates in Debate as an extracurricular activity.
Student S10436 named Dr. Elaine Hamilton, age 17, gender Female, is in Class 6. Scored 43 in Math, 40 in Science, 65 in English, 57 in History, and 55 in Computer, totaling 260 marks with Grade D. Attendance stands at 93.64 percent. Participates in Drama as an extracurricular activity.
Student S10453 named Brittany Stout, age 12, gender Male, is in Class 6. Scored 92 in Math, 43 in Science, 58 in English, 30 in History, and 94 in Computer, totaling 317 marks with Grade C. Attendance stands at 70.74 percent. Participates in Dance as an extracurricular activity.
