Student S10001 named Rebecca Vargas, age 15, gender Male, is in Class 8. Scored 40 in Math, 94 in Science, 42 in English, 66 in History, and 70 in Computer, totaling 312 marks with Grade C. Attendance stands at 69.78 percent. Participates in Drama as an extracurricular activity.
Student S10007 named Steven Jackson, age 12, gender Male, is in Class 8. Scored 96 in Math, 51 in Science, 38 in English, 49 in History, and 89 in Computer, totaling 323 marks with Grade C. Attendance stands at 84.50 percent. Participates in Football as an extracurricular activity.
Student S10020 named Stephen Hill, age 17, gender Male, is in Class 8. Scored 79 in Math, 44 in Science, 60 in English, 94 in History, and 94 in Computer, totaling 371 marks with Grade C. Attendance stands at 83.05 percent. Participates in Dance as an extracurricular activity.
Student S10023 named Alexandria Garrett, age 12, gender Male, is in Class 8. Scored 87 in Math, 57 in Science, 55 in English, 95 in History, and 81 in Computer, totaling 375 marks with Grade C. Attendance stands at 89.13 percent. Participates in Drama as an extracurricular activity.
Student S10029 named Luis Butler Jr., age 14, gender Female, is in Class 8. Scored 88 in Math, 48 in Science, 48 in English, 43 in History, and 65 in Computer, totaling 292 marks with Grade D. Attendance stands at 86.69 percent. Participates in Football as an extracurricular activity.
Student S10054 named Ms. Jacqueline Graham, age 15, gender Male, is in Class 8. Scored 94 in Math, 85 in Science, 97 in English, 59 in History, and 70 in Computer, totaling 405 marks with Grade B. Attendance stands at 78.55 percent. Participates in Dance as an extracurricular activity.
Student S10056 named Louis Howard, age 15, gender Female, is in Class 8. Scored 41 in Math, 37 in Science, 55 in English, 47 in History, and 55 in Computer, totaling 235 marks with Grade D. Attendance stands at 66.73 percent. Participates in Debate as an extracurricular activity.
Student S10073 named John Moore, age 16, gender Male, is in Class 8. Scored 65 in Math, 72 in Science, 89 in English, 53 in History, and 47 in Computer, totaling 326 marks with Grade C. Attendance stands at 67.91 percent. Participates in Drama as an extracurricular activity.
Student S10075 named Laura Mitchell, age 15, gender Female, is in Class 8. Scored 77 in Math, 49 in Science, 79 in English, 78 in History, and 60 in Computer, totaling 343 marks with Grade C. Attendance stands at 84.82 percent. Participates in Debate as an extracurricular activity.
Student S10080 named Christopher Fritz, age 13, gender Female, is in Class 8. Scored 33 in Math, 55 in Science, 96 in English, 56 in History, and 53 in Computer, totaling 293 marks with Grade D. Attendance stands at 65.62 percent. Participates in Debate as an extracurricular activity.
Student S10082 named Michael Jones, age 10, gender Female, is in Class 8. Scored 30 in Math, 74 in Science, 75 in English, 82 in History, and 72 in Computer, totaling 333 marks with Grade C. Attendance stands at 77.12 percent. Participates in None as an extracurricular activity.
Student S10088 named Courtney Villegas, age 16, gender Female, is in Class 8. Scored 72 in Math, 73 in Science, 68 in English, 70 in History, and 95 in Computer, totaling 378 marks with Grade C. Attendance stands at 90.85 percent. Participates in None as an extracurricular activity.
Student S10104 named Carla Ramirez, age 15, gender Female, is in Class 8. Scored 78 in Math, 84 in Science, 70 in English, 46 in History, and 37 in Computer, totaling 315 marks with Grade C. Attendance stands at 84.54 percent. Participates in Dance as an extracurricular activity.
Student S10112 named Rebecca Morales, age 13, gender Male, is in Class 8. Scored 74 in Math, 64 in Science, 86 in English, 73 in History, and 38 in Computer, totaling 335 marks with Grade C. Attendance stands at 89.02 percent. Participates in Football as an extracurricular activity.
Student S10122 named Taylor Wright, age 12, gender Male, is in Class 8. Scored 40 in Math, 32 in Science, 81 in English, 95 in History, and 35 in Computer, totaling 283 marks with Grade D. Attendance stands at 67.07 percent. Participates in Music as an extracurricular activity.
Student S10123 named Russell Lawson, age 11, gender Female, is in Class 8. Scored 53 in Math, 41 in Science, 88 in English, 53 in History, and 78 in Computer, totaling 313 marks with Grade C. Attendance stands at 98.11 percent. Participates in Drama as an extracurricular activity.
Student S10124 named Billy Lee, age 14, gender Male, is in Class 8. Scored 81 in Math, 68 in Science, 79 in English, 64 in History, and 46 in Computer, totaling 338 marks with Grade C. Attendance stands at 76.42 percent. Participates in Dance as an extracurricular activity.
Student S10129 named Tim Lutz, age 12, gender Female, is in Class 8. Scored 76 in Math, 97 in Science, 92 in English, 60 in History, and 99 in Computer, totaling 424 marks with Grade B. Attendance stands at 71.49 percent. Participates in None as an extracurricular activity.
Student S10130 named Jason Guerrero, age 14, gender Male, is in Class 8. Scored 31 in Math, 91 in Science, 65 in English, 71 in History, and 48 in Computer, totaling 306 marks with Grade C. Attendance stands at 60.15 percent. Participates in None as an extracurricular activity.
Student S10133 named Collin Richmond, age 13, gender Male, is in Class 8. Scored 40 in Math, 30 in Science, 89 in English, 75 in History, and 89 in Computer, totaling 323 marks with Grade C. Attendance stands at 73.84 percent. Participates in None as an extracurricular activity.
Student S10136 named Sydney Rush, age 17, gender Male, is in Class 8. Scored 43 in Math, 58 in Science, 52 in English, 71 in History, and 46 in Computer, totaling 270 marks with Grade D. Attendance stands at 68.70 percent. Participates in Debate as an extracurricular activity.
Student S10140 named Andrea Spencer, age 17, gender Female, is in Class 8. Scored 87 in Math, 44 in Science, 95 in English, 37 in History, and 47 in Computer, totaling 310 marks with Grade C. Attendance stands at 74.95 percent. Participates in Debate as an extracurricular activity.
