Student S10002 named Christopher Taylor, age 17, gender Male, is in Class 7. Scored 71 in Math, 59 in Science, 30 in English, 88 in History, and 94 in Computer, totaling 342 marks with Grade C. Attendance stands at 71.95 percent. Participates in Music as an extracurricular activity.
Student S10003 named Jared Riley, age 11, gender Female, is in Class 7. Scored 72 in Math, 78 in Science, 32 in English, 38 in History, and 92 in Computer, totaling 312 marks with Grade C. Attendance stands at 81.31 percent. Participates in Football as an extracurricular activity.
Student S10019 named David Evans, age 15, gender Male, is in Class 7. Scored 66 in Math, 37 in Science, 93 in English, 65 in History, and 55 in Computer, totaling 316 marks with Grade C. Attendance stands at 77.31 percent. Participates in Music as an extracurricular activity.
Student S10021 named Brittany Ryan, age 10, gender Female, is in Class 7. Scored 74 in Math, 50 in Science, 90 in English, 82 in History, and 81 in Computer, totaling 377 marks with Grade C. Attendance stands at 64.76 percent. Participates in Drama as an extracurricular activity.
Student S10026 named Charles Wolfe, age 14, gender Male, is in Class 7. Scored 74 in Math, 85 in Science, 93 in English, 50 in History, and 88 in Computer, totaling 390 marks with Grade C. Attendance stands at 86.82 percent. Participates in Drama as an extracurricular activity.
Student S10034 named Angela Rodriguez, age 16, gender Male, is in Class 7. Scored 58 in Math, 73 in Science, 44 in English, 77 in History, and 68 in Computer, totaling 320 marks with Grade C. Attendance stands at 90.10 percent. Participates in Dance as an extracurricular activity.
Student S10036 named Lauren Taylor, age 11, gender Male, is in Class 7. Scored 92 in Math, 97 in Science, 76 in English, 89 in History, and 38 in Computer, totaling 392 marks with Grade C. Attendance stands at 69.12 percent. Participates in Music as an extracurricular activity.
Student S10040 named Tamara Hernandez, age 16, gender Female, is in Class 7. Scored 64 in Math, 69 in Science, 31 in English, 66 in History, and 75 in Computer, totaling 305 marks with Grade C. Attendance stands at 98.57 percent. Participates in Football as an extracurricular activity.
Student S10041 named Timothy Gonzalez, age 12, gender Male, is in Class 7. Scored 69 in Math, 41 in Science, 94 in English, 64 in History, and 80 in Computer, totaling 348 marks with Grade C. Attendance stands at 94.78 percent. Participates in None as an extracurricular activity.
Student S10042 named Tom Gonzalez MD, age 10, gender Male, is in Class 7. Scored 45 in Math, 56 in Science, 41 in English, 88 in History, and 43 in Computer, totaling 273 marks with Grade D. Attendance stands at 65.43 percent. Participates in Music as an extracurricular activity.
Student S10045 named Alexis Moore, age 11, gender Male, is in Class 7. Scored 54 in Math, 36 in Science, 84 in English, 71 in History, and 36 in Computer, totaling 281 marks with Grade D. Attendance stands at 62.19 percent. Participates in Drama as an extracurricular activity.
Student S10048 named Jeffrey Ortiz, age 15, gender Male, is in Class 7. Scored 88 in Math, 66 in Science, 83 in English, 58 in History, and 84 in Computer, totaling 379 marks with Grade C. Attendance stands at 73.29 percent. Participates in None as an extracurricular activity.
Student S10065 named Craig Rodriguez, age 13, gender Male, is in Class 7. Scored 86 in Math, 81 in Science, 85 in English, 58 in History, and 92 in Computer, totaling 402 marks with Grade B. Attendance stands at 95.60 percent. Participates in Music as an extracurricular activity.
Student S10079 named James Hall, age 10, gender Female, is in Class 7. Scored 96 in Math, 94 in Science, 99 in English, 62 in History, and 63 in Computer, totaling 414 marks with Grade B. Attendance stands at 88.72 percent. Participates in Music as an extracurricular activity.
Student S10106 named Daniel Thompson, age 10, gender Female, is in Class 7. Scored 74 in Math, 47 in Science, 60 in English, 88 in History, and 89 in Computer, totaling 358 marks with Grade C. Attendance stands at 82.44 percent. Participates in Dance as an extracurricular activity.
Student S10108 named Troy Mcdaniel, age 14, gender Male, is in Class 7. Scored 97 in Math, 32 in Science, 58 in English, 55 in History, and 55 in Computer, totaling 297 marks with Grade D. Attendance stands at 77.51 percent. Participates in Drama as an extracurricular activity.
Student S10109 named Sara Guzman, age 16, gender Female, is in Class 7. Scored 89 in Math, 32 in Science, 57 in English, 39 in History, and 66 in Computer, totaling 283 marks with Grade D. Attendance stands at 98.76 percent. Participates in Debate as an extracurricular activity.
Student S10114 named Alyssa Williams, age 16, gender Female, is in Class 7. Scored 89 in Math, 95 in Science, 74 in English, 53 in History, and 83 in Computer, totaling 394 marks with Grade C. Attendance stands at 66.83 percent. Participates in Dance as an extracurricular activity.
Student S10134 named Michael Brooks, age 11, gender Female, is in Class 7. Scored 52 in Math, 76 in Science, 81 in English, 91 in History, and 64 in Computer, totaling 364 marks with Grade C. Attendance stands at 84.76 percent. Participates in Football as an extracurricular activity.
Student S10145 named Jonathan Kirk, age 11, gender Male, is in Class 7. Scored 48 in Math, 78 in Science, 85 in English, 66 in History, and 44 in Computer, totaling 321 marks with Grade C. Attendance stands at 90.79 percent. Participates in Drama as an extracurricular activity.
Student S10153 named James Neal, age 10, gender Male, is in Class 7. Scored 57 in Math, 82 in Science, 59 in English, 96 in History, and 70 in Computer, totaling 364 marks with Grade C. Attendance stands at 92.59 percent. Participates in Music as an extracurricular activity.
Student S10166 named Steven Harris, age 11, gender Male, is in Class 7. Scored 40 in Math, 83 in Science, 50 in English, 43 in History, and 47 in Computer, totaling 263 marks with Grade D. Attendance stands at 72.81 percent. Participates in Debate as an extracurricular activity.
Student S10171 named Mary Sanders, age 12, gender Male, is in Class 7. Scored 80 in Math, 34 in Science, 79 in English, 62 in History, and 38 in Computer, totaling 293 marks with Grade D. Attendance stands at 87.37 percent. Participates in Music as an extracurricular activity.
Student S10214 named Andrea Roberson, age 16, gender Male, is in Class 7. Scored 76 in Math, 88 in Science, 66 in English, 46 in History, and 90 in Computer, totaling 366 marks with Grade C. Attendance stands at 89.64 percent. Participates in Music as an extracurricular activity.
Student S10226 named Michelle Lane, age 17, gender Male, is in Class 7. Scored 48 in Math, 32 in Science, 40 in English, 65 in History, and 93 in Computer, totaling 278 marks with Grade D. Attendance stands at 95.02 percent. Participates in Drama as an extracurricular activity.
Student S10231 named Sandra Garcia, age 12, gender Male, is in Class 7. Scored 66 in Math, 62 in Science, 59 in English, 70 in History, and 52 in Computer, totaling 309 marks with Grade C. Attendance stands at 89.65 percent. Participates in Music as an extracurricular activity.
Student S10237 named Mary Parker, age 14, gender Female, is in Class 7. Scored 74 in Math, 70 in Science, 89 in English, 30 in History, and 38 in Computer, totaling 301 marks with Grade C. Attendance stands at 84.50 percent. Participates in Dance as an extracurricular activity.
Student S10244 named Ronald Whitehead, age 16, gender Female, is in Class 7. Scored 53 in Math, 39 in Science, 53 in English, 61 in History, and 95 in Computer, totaling 301 marks with Grade C. Attendance stands at 74.68 percent. Participates in None as an extracurricular activity.
Student S10251 named John Powers, age 14, gender Male, is in Class 7. Scored 92 in Math, 92 in Science, 48 in English, 63 in History, and 42 in Computer, totaling 337 marks with Grade C. Attendance stands at 62.83 percent. Participates in None as an extracurricular activity.
