Student S10025 named Alexander Campbell, age 12, gender Female, is in Class 9. Scored 56 in Math, 39 in Science, 58 in English, 58 in History, and 39 in Computer, totaling 250 marks with Grade D. Attendance stands at 71.01 percent. Participates in Debate as an extracurricular activity.
Student S10032 named Charlene Rose, age 10, gender Male, is in Class 9. Scored 41 in Math, 38 in Science, 55 in English, 83 in History, and 85 in Computer, totaling 302 marks with Grade C. Attendance stands at 72.09 percent. Participates in Football as an extracurricular activity.
Student S10037 named Gabriel Chung, age 12, gender Male, is in Class 9. Scored 57 in Math, 35 in Science, 86 in English, 74 in History, and 30 in Computer, totaling 282 marks with Grade D. Attendance stands at 91.10 percent. Participates in Football as an extracurricular activity.
Student S10043 named Jonathon Beard, age 11, gender Female, is in Class 9. Scored 72 in Math, 82 in Science, 37 in English, 77 in History, and 58 in Computer, totaling 326 marks with Grade C. Attendance stands at 61.08 percent. Participates in Dance as an extracurricular activity.
Student S10052 named Michael Thompson, age 14, gender Male, is in Class 9. Scored 81 in Math, 91 in Science, 45 in English, 62 in History, and 41 in Computer, totaling 320 marks with Grade C. Attendance stands at 68.52 percent. Participates in Debate as an extracurricular activity.
Student S10053 named Hannah Gregory, age 13, gender Female, is in Class 9. Scored 64 in Math, 84 in Science, 56 in English, 86 in History, and 94 in Computer, totaling 384 marks with Grade C. Attendance stands at 64.73 percent. Participates in Drama as an extracurricular activity.
Student S10067 named Stephanie Allen, age 15, gender Female, is in Class 9. Scored 46 in Math, 31 in Science, 77 in English, 59 in History, and 41 in Computer, totaling 254 marks with Grade D. Attendance stands at 60.04 percent. Participates in Drama as an extracurricular activity.
Student S10068 named Meagan Harris, age 13, gender Female, is in Class 9. Scored 73 in Math, 78 in Science, 32 in English, 62 in History, and 54 in Computer, totaling 299 marks with Grade D. Attendance stands at 66.66 percent. Participates in Football as an extracurricular activity.
Student S10081 named Dana Robinson, age 14, gender Male, is in Class 9. Scored 92 in Math, 80 in Science, 79 in English, 59 in History, and 52 in Computer, totaling 362 marks with Grade C. Attendance stands at 60.21 percent. Participates in Drama as an extracurricular activity.
Student S10090 named Diana Fields, age 12, gender Male, is in Class 9. Scored 47 in Math, 64 in Science, 34 in English, 83 in History, and 94 in Computer, totaling 322 marks with Grade C. Attendance stands at 86.14 percent. Participates in Football as an extracurricular activity.
Student S10117 named Nichole Stark, age 16, gender Female, is in Class 9. Scored 45 in Math, 38 in Science, 41 in English, 60 in History, and 91 in Computer, totaling 275 marks with Grade D. Attendance stands at 78.96 percent. Participates in Drama as an extracurricular activity.
