StudentID,Name,Age,Gender,Class,Math,Science,English,History,Computer,AttendancePercent,Extracurricular,Total,Grade
S10000,Brianna Smith,16,Female,12,47,85,67,68,81,61.7,None,348,C
S10001,Rebecca Vargas,15,Male,8,40,94,42,66,70,69.78,Drama,312,C
S10002,Christopher Taylor,17,Male,7,71,59,30,88,94,71.95,Music,342,C
S10003,Jared Riley,11,Female,7,72,78,32,38,92,81.31,Football,312,C
S10004,Kevin Huff,14,Female,11,87,79,84,53,77,81.37,None,380,C
S10005,Tanya Juarez,13,Male,6,80,95,38,66,31,72.87,None,310,C
S10006,Bobby Stevenson,16,Male,6,60,71,95,99,35,79.7,Dance,360,C
S10007,Steven Jackson,12,Male,8,96,51,38,49,89,84.5,Football,323,C
S10008,Valerie Smith,16,Female,5,31,85,42,73,43,81.02,Debate,274,D
S10009,Ryan Aguilar,16,Female,6,59,96,44,96,39,88.11,Football,334,C
S10010,Catherine Garcia,16,Female,6,65,39,62,66,46,71.28,Football,278,D
S10011,Ruth Zimmerman,13,Male,11,38,96,99,97,42,96.7,Football,372,C
S10012,Joseph Smith,12,Female,10,83,84,37,75,87,83.67,Drama,366,C
S10013,Teresa Blake,12,Male,6,48,55,93,67,33,70.54,Debate,296,D
S10014,Christina Jimenez,14,Female,10,60,58,72,38,98,74.69,Football,326,C
S10015,Larry Ramsey,13,Female,11,95,66,67,67,66,68.36,None,361,C
S10016,Jacqueline Owens,11,Male,11,48,90,85,57,57,79.49,Drama,337,C
S10017,Anthony Cook,11,Male,5,94,51,51,86,96,81.53,Debate,378,C
S10018,Danielle Martinez,15,Male,12,40,97,37,33,48,79.86,Football,255,D
S10019,David Evans,15,Male,7,66,37,93,65,55,77.31,Music,316,C
S10020,Stephen Hill,17,Male,8,79,44,60,94,94,83.05,Dance,371,C
S10021,Brittany Ryan,10,Female,7,74,50,90,82,81,64.76,Drama,377,C
S10022,Karen Jenkins,13,Female,5,54,40,95,98,89,72.19,Football,376,C
S10023,Alexandria Garrett,12,Male,8,87,57,55,95,81,89.13,Drama,375,C
S10024,Anthony Alexander,12,Female,11,86,83,92,33,54,86.57,Music,348,C
S10025,Alexander Campbell,12,Female,9,56,39,58,58,39,71.01,Debate,250,D
S10026,Charles Wolfe,14,Male,7,74,85,93,50,88,86.82,Drama,390,C
S10027,Joshua Warner,13,Male,11,37,71,50,90,45,77.91,Drama,293,D
S10028,Pamela Richardson,10,Male,11,86,38,50,72,97,92.84,Music,343,C
S10029,Luis Butler Jr.,14,Female,8,88,48,48,43,65,86.69,Football,292,D
S10030,Christopher Smith,13,Male,6,34,32,58,32,64,93.49,None,220,D
S10031,Angela Rice,17,Male,5,83,83,45,44,70,81.42,Music,325,C
S10032,Charlene Rose,10,Male,9,41,38,55,83,85,72.09,Football,302,C
S10033,Susan White,13,Male,6,64,57,82,36,49,63.52,Football,288,D
S10034,Angela Rodriguez,16,Male,7,58,73,44,77,68,90.1,Dance,320,C
S10035,Ray Diaz,11,Male,10,46,66,43,63,95,63.07,None,313,C
S10036,Lauren Taylor,11,Male,7,92,97,76,89,38,69.12,Music,392,C
S10037,Gabriel Chung,12,Male,9,57,35,86,74,30,91.1,Football,282,D
S10038,Kerry Walters,10,Male,10,61,82,61,40,77,77.43,Dance,321,C
S10039,Teresa Alexander,13,Male,6,52,81,47,81,83,73.38,Debate,344,C
S10040,Tamara Hernandez,16,Female,7,64,69,31,66,75,98.57,Football,305,C
S10041,Timothy Gonzalez,12,Male,7,69,41,94,64,80,94.78,None,348,C
S10042,Tom Gonzalez MD,10,Male,7,45,56,41,88,43,65.43,Music,273,D
S10043,Jonathon Beard,11,Female,9,72,82,37,77,58,61.08,Dance,326,C
S10044,Connie Lee,13,Female,5,79,40,66,84,59,81.57,Debate,328,C
S10045,Alexis Moore,11,Male,7,54,36,84,71,36,62.19,Drama,281,D
S10046,Nathan Crawford III,13,Female,12,39,42,36,63,70,65.8,None,250,D
S10047,Benjamin Reed,10,Male,5,60,97,33,98,31,68.5,Football,319,C
S10048,Jeffrey Ortiz,15,Male,7,88,66,83,58,84,73.29,None,379,C
S10049,Joseph Morse,15,Male,10,33,33,45,50,75,77.7,Drama,236,D
S10050,Andrew Brady,10,Male,11,60,78,81,59,71,86.96,Football,349,C
S10051,Jared Duran,11,Female,5,35,53,69,72,54,91.29,Drama,283,D
S10052,Michael Thompson,14,Male,9,81,91,45,62,41,68.52,Debate,320,C
S10053,Hannah Gregory,13,Female,9,64,84,56,86,94,64.73,Drama,384,C
S10054,Ms. Jacqueline Graham,15,Male,8,94,85,97,59,70,78.55,Dance,405,B
S10055,Caleb Brown,11,Male,11,91,90,85,77,91,93.82,Music,434,B
S10056,Louis Howard,15,Female,8,41,37,55,47,55,66.73,Debate,235,D
S10057,Lauren Michael,15,Female,11,34,57,30,73,31,86.24,None,225,D
S10058,Justin Henderson,15,Female,5,74,94,32,95,40,92.25,Football,335,C
S10059,Jacqueline Liu,12,Female,11,83,98,44,77,86,86.61,Drama,388,C
S10060,Clayton Howard,13,Female,12,64,56,64,45,85,62.29,Football,314,C
S10061,Julie Sims,15,Male,11,82,94,47,52,69,65.81,Debate,344,C
S10062,Cheryl Flores,11,Female,11,75,74,99,53,97,96.34,Music,398,C
S10063,Natalie Patterson,15,Male,10,74,52,76,76,76,67.19,Music,354,C
S10064,Jessica Fisher,17,Female,11,68,99,47,74,93,76.15,Music,381,C
S10065,Craig Rodriguez,13,Male,7,86,81,85,58,92,95.6,Music,402,B
S10066,Scott Smith,10,Male,5,71,76,31,76,94,94.75,Debate,348,C
S10067,Stephanie Allen,15,Female,9,46,31,77,59,41,60.04,Drama,254,D
S10068,Meagan Harris,13,Female,9,73,78,32,62,54,66.66,Football,299,D
S10069,Alyssa Gill,14,Male,5,40,50,43,55,52,79.76,Dance,240,D
S10070,Meredith Anderson,13,Female,10,59,89,91,37,46,93.34,Music,322,C
S10071,William Murphy,13,Male,10,67,83,66,71,45,77.13,None,332,C
S10072,Samantha Brown,10,Female,6,31,38,60,50,34,85.91,Music,213,D
S10073,John Moore,16,Male,8,65,72,89,53,47,67.91,Drama,326,C
S10074,Christine Carter,16,Female,12,35,90,70,82,67,78.86,Music,344,C
S10075,Laura Mitchell,15,Female,8,77,49,79,78,60,84.82,Debate,343,C
S10076,Juan Lynn,10,Female,6,75,45,75,31,92,89.61,Music,318,C
S10077,Candace Fox,10,Male,10,48,58,31,98,49,86.9,None,284,D
S10078,Tina Holder,16,Male,12,68,80,92,59,77,75.59,Football,376,C
S10079,James Hall,10,Female,7,96,94,99,62,63,88.72,Music,414,B
S10080,Christopher Fritz,13,Female,8,33,55,96,56,53,65.62,Debate,293,D
S10081,Dana Robinson,14,Male,9,92,80,79,59,52,60.21,Drama,362,C
S10082,Michael Jones,10,Female,8,30,74,75,82,72,77.12,None,333,C
S10083,Melissa Wilson,17,Male,5,78,33,36,49,40,94.18,None,236,D
S10084,Adam Sullivan,15,Female,10,65,65,66,44,61,96.01,Drama,301,C
S10085,Savannah Brown,11,Male,12,99,86,66,74,73,80.29,None,398,C
S10086,Bonnie Foster,10,Female,12,30,79,47,80,81,66.19,None,317,C
S10087,Cynthia Ruiz,11,Male,12,93,96,48,65,81,87.1,None,383,C
S10088,Courtney Villegas,16,Female,8,72,73,68,70,95,90.85,None,378,C
S10089,Jennifer Stevens,14,Male,10,58,55,68,93,70,64.33,None,344,C
S10090,Diana Fields,12,Male,9,47,64,34,83,94,86.14,Football,322,C
S10091,Rhonda Valenzuela,17,Male,5,60,74,85,86,89,83.73,Football,394,C
S10092,Joseph Silva,12,Female,11,57,51,52,89,62,94.38,Dance,311,C
S10093,Kimberly Thompson,14,Female,11,32,33,91,59,91,84.82,Music,306,C
S10094,Shane Gardner,16,Male,6,46,58,89,64,50,93.41,Football,307,C
S10095,Whitney Nguyen,15,Female,12,74,36,57,74,84,81.02,Football,325,C
S10096,Madison Mann,14,Male,12,39,65,55,66,51,71.99,Drama,276,D
S10097,Mrs. Rebekah Snyder DVM,16,Male,10,75,60,67,80,34,74.05,Music,316,C
S10098,Daniel Palmer,14,Male,11,35,47,85,62,95,91.34,None,324,C
S10099,Jennifer Robbins,13,Female,11,57,40,49,80,47,76.59,Music,273,D
S10100,Catherine Williams,15,Female,6,68,97,79,65,51,93.99,None,360,C
S10101,Jonathan Martinez,14,Male,5,35,52,66,38,43,67.75,Drama,234,D
S10102,Scott Guzman,14,Female,5,45,89,33,79,71,94.2,Drama,317,C
S10103,Haley Lewis,10,Male,10,57,74,49,98,89,88.68,None,367,C
S10104,Carla Ramirez,15,Female,8,78,84,70,46,37,84.54,Dance,315,C
S10105,Nancy Cox,13,Female,12,58,98,40,60,56,85.45,Drama,312,C
S10106,Daniel Thompson,10,Female,7,74,47,60,88,89,82.44,Dance,358,C
S10107,Christine Smith,10,Male,12,76,63,41,76,86,96.58,Music,342,C
S10108,Troy Mcdaniel,14,Male,7,97,32,58,55,55,77.51,Drama,297,D
S10109,Sara Guzman,16,Female,7,89,32,57,39,66,98.76,Debate,283,D
S10110,Nicole Shepherd,16,Female,12,56,31,48,56,46,68.44,Music,237,D
S10111,Amy Sullivan,11,Male,6,30,58,38,56,44,70.02,Drama,226,D
S10112,Rebecca Morales,13,Male,8,74,64,86,73,38,89.02,Football,335,C
S10113,Cory Austin,16,Male,5,68,53,79,98,54,92.96,Dance,352,C
S10114,Alyssa Williams,16,Female,7,89,95,74,53,83,66.83,Dance,394,C
S10115,Jamie Gardner,13,Male,6,74,65,78,94,95,96.74,Football,406,B
S10116,Rachel Poole,13,Male,10,70,32,45,45,76,79.88,Drama,268,D
S10117,Nichole Stark,16,Female,9,45,38,41,60,91,78.96,Drama,275,D
S10118,Brenda Gallagher,15,Male,11,89,47,61,48,40,97.49,Music,285,D
S10119,Rachel Soto,14,Female,12,32,77,93,60,46,81.13,Music,308,C
S10120,James Smith,16,Female,12,44,88,46,71,75,62.95,Debate,324,C
S10121,Victor Smith,15,Male,12,85,71,96,97,93,97.95,Music,442,B
S10122,Taylor Wright,12,Male,8,40,32,81,95,35,67.07,Music,283,D
S10123,Russell Lawson,11,Female,8,53,41,88,53,78,98.11,Drama,313,C
S10124,Billy Lee,14,Male,8,81,68,79,64,46,76.42,Dance,338,C
S10125,Kristine Conrad,13,Female,9,76,59,48,51,87,90.51,Football,321,C
S10126,Sarah Richardson,10,Female,10,49,32,30,41,38,77.4,Dance,190,F
S10127,Connie Davis,17,Female,6,64,69,85,57,59,72.85,None,334,C
S10128,Sarah Osborn,12,Female,6,89,95,63,65,48,68.34,Football,360,C
S10129,Tim Lutz,12,Female,8,76,97,92,60,99,71.49,None,424,B
S10130,Jason Guerrero,14,Male,8,31,91,65,71,48,60.15,None,306,C
S10131,Robert Mccoy,17,Male,6,52,94,37,52,75,72.0,Football,310,C
S10132,Sheila Greene,17,Male,10,99,49,53,79,48,83.64,Football,328,C
S10133,Collin Richmond,13,Male,8,40,30,89,75,89,73.84,None,323,C
S10134,Michael Brooks,11,Female,7,52,76,81,91,64,84.76,Football,364,C
S10135,William Morris,15,Male,11,80,48,87,36,65,65.83,None,316,C
S10136,Sydney Rush,17,Male,8,43,58,52,71,46,68.7,Debate,270,D
S10137,Connor Cole,11,Male,12,85,80,31,46,55,78.94,None,297,D
S10138,Christina Nguyen,10,Male,9,89,37,39,94,73,89.65,Dance,332,C
S10139,Ronald Evans,10,Female,6,41,77,59,94,85,77.6,Dance,356,C
S10140,Andrea Spencer,17,Female,8,87,44,95,37,47,74.95,Debate,310,C
S10141,Frank Hughes,15,Female,12,84,90,30,94,99,81.53,Football,397,C
S10142,Mckenzie Thomas,14,Female,5,67,85,96,91,88,61.15,Drama,427,B
S10143,David Dawson,11,Male,12,69,51,88,41,39,66.16,Drama,288,D
S10144,Luis Adkins,10,Male,10,45,38,52,87,53,95.91,Drama,275,D
S10145,Jonathan Kirk,11,Male,7,48,78,85,66,44,90.79,Drama,321,C
S10146,William Hernandez,17,Male,11,68,68,36,63,93,70.64,Debate,328,C
S10147,Dr. Andrew Myers DDS,15,Female,10,70,34,64,90,35,78.11,Drama,293,D
S10148,Stephen Rodriguez,15,Female,5,64,77,48,87,35,75.79,Dance,311,C
S10149,Jessica Gallegos,16,Male,10,80,80,78,75,51,62.13,None,364,C
S10150,James Brown,12,Male,9,40,33,91,82,82,87.9,Music,328,C
S10151,Michael Lewis,12,Male,12,68,32,93,47,43,92.23,None,283,D
S10152,Nicholas Floyd,15,Female,5,33,82,58,73,47,98.1,Football,293,D
S10153,James Neal,10,Male,7,57,82,59,96,70,92.59,Music,364,C
S10154,Kyle Thomas,14,Male,9,55,70,31,96,90,66.4,Dance,342,C
S10155,Terri Lang,16,Female,10,78,37,47,51,31,79.31,Drama,244,D
S10156,David Salinas,14,Male,8,56,77,46,90,61,69.86,Drama,330,C
S10157,Andrea Bray,13,Female,5,74,36,34,74,37,78.31,Debate,255,D
S10158,Jeffrey Gill,13,Male,9,64,50,56,54,54,66.57,None,278,D
S10159,Erica Bender,17,Male,11,54,45,94,58,85,83.07,None,336,C
S10160,Bradley White,14,Female,6,79,78,75,59,60,86.8,Music,351,C
S10161,Cynthia Gomez,14,Female,9,34,68,52,53,84,86.1,Music,291,D
S10162,Laura Woodward,13,Male,8,71,81,44,84,35,60.2,Debate,315,C
S10163,Carol Chavez,13,Male,11,36,87,49,84,76,94.47,Dance,332,C
S10164,Nicole Good,16,Female,11,53,41,97,51,91,97.56,None,333,C
S10165,David Torres,15,Male,6,99,73,66,68,72,79.28,Football,378,C
S10166,Steven Harris,11,Male,7,40,83,50,43,47,72.81,Debate,263,D
S10167,Danny Johnson,17,Male,9,93,31,65,84,83,94.78,None,356,C
S10168,Sara Marshall,15,Male,6,61,97,88,60,65,75.72,Music,371,C
S10169,Martin Reynolds,13,Female,11,60,84,50,30,31,66.35,Music,255,D
S10170,Trevor Miller,17,Male,8,77,47,30,67,65,74.21,Drama,286,D
S10171,Mary Sanders,12,Male,7,80,34,79,62,38,87.37,Music,293,D
S10172,Ryan Wang,14,Female,6,63,51,80,74,78,97.88,Debate,346,C
S10173,James Tucker,14,Male,9,87,77,30,68,41,86.75,Drama,303,C
S10174,Maria Carson,17,Female,10,45,98,41,56,89,94.62,Music,329,C
S10175,Daniel Moss,17,Female,10,88,88,39,96,63,66.03,None,374,C
S10176,Zachary Higgins,12,Female,12,78,34,88,52,85,65.7,Debate,337,C
S10177,Katelyn Cooper,14,Female,10,63,90,41,85,98,91.13,Dance,377,C
S10178,Ann Clark,12,Male,11,46,76,58,76,63,91.97,Drama,319,C
S10179,Loretta Kelley,11,Male,10,85,69,73,44,61,70.16,Dance,332,C
S10180,Dawn Dawson,15,Male,6,31,77,58,97,70,71.25,Music,333,C
S10181,Richard Nixon,12,Female,9,73,46,68,90,52,68.88,Debate,329,C
S10182,Ryan Peters,16,Female,12,86,71,85,69,47,76.49,Drama,358,C
S10183,Joe Perez,14,Male,9,93,68,36,75,84,79.17,Debate,356,C
S10184,Julian Manning,15,Male,11,57,41,42,87,73,78.89,Football,300,D
S10185,Joshua Foster,16,Female,5,67,78,81,95,71,92.67,Dance,392,C
S10186,Samantha Chaney,17,Female,9,94,59,58,68,46,89.79,None,325,C
S10187,Amanda Dawson,13,Male,10,38,49,32,66,39,99.52,None,224,D
S10188,Travis Richardson,11,Male,11,52,54,31,53,51,94.66,Football,241,D
S10189,Joel Hardy,10,Female,12,90,35,78,38,47,92.73,Dance,288,D
S10190,Jonathan Stephens,10,Female,9,35,90,40,66,40,72.4,Debate,271,D
S10191,Paul King,10,Female,9,61,37,78,42,43,73.9,None,261,D
S10192,Todd Logan,10,Male,10,53,63,79,86,39,90.82,Dance,320,C
S10193,Matthew Brown,11,Male,6,77,44,48,93,40,86.53,Drama,302,C
S10194,Erica Lewis,10,Female,11,50,87,72,41,99,79.89,Football,349,C
S10195,David Campbell,15,Female,11,31,88,51,93,40,87.56,Drama,303,C
S10196,Daniel Sullivan,16,Male,9,53,67,84,34,71,82.29,Dance,309,C
S10197,Jared Freeman,16,Male,12,85,35,42,75,71,83.73,None,308,C
S10198,Patricia Smith,11,Female,5,57,66,74,88,44,84.54,Football,329,C
S10199,Timothy Simmons,15,Female,11,51,36,40,54,61,96.21,Debate,242,D
S10200,Claudia Diaz,11,Male,12,37,75,46,63,30,70.27,Dance,251,D
S10201,Travis Douglas,15,Male,11,38,92,37,50,70,94.87,None,287,D
S10202,Kristen Dean,12,Female,8,47,30,42,78,67,64.53,Football,264,D
S10203,Daniel Burgess,12,Male,11,49,61,41,47,38,93.61,Dance,236,D
S10204,Andrew Zimmerman,15,Male,9,84,46,62,66,53,92.3,Football,311,C
S10205,Mark Davis,12,Male,5,39,37,78,43,79,65.93,Debate,276,D
S10206,Crystal Davis,12,Male,11,94,66,64,55,58,85.21,Music,337,C
S10207,Gregory Adams,10,Female,5,82,33,91,95,74,84.79,Drama,375,C
S10208,Lauren Smith,16,Female,6,32,46,39,83,44,87.44,None,244,D
S10209,Diana Wilson,10,Female,12,87,99,46,90,53,90.68,Debate,375,C
S10210,Diana Massey,12,Male,10,75,81,60,93,91,78.06,None,400,C
S10211,Katherine Herrera,12,Female,8,31,91,92,84,89,72.71,None,387,C
S10212,Christina Swanson,14,Female,12,78,69,96,81,56,61.54,Football,380,C
S10213,Keith Ewing,13,Male,5,39,47,94,86,35,77.58,None,301,C
S10214,Andrea Roberson,16,Male,7,76,88,66,46,90,89.64,Music,366,C
S10215,Steven Noble,13,Female,12,81,87,32,50,45,72.51,Football,295,D
S10216,James Barton,11,Male,5,82,31,71,42,57,60.79,Debate,283,D
S10217,Stephen Cox,14,Female,8,59,76,40,93,37,61.98,Dance,305,C
S10218,Bethany Manning,13,Female,6,40,76,77,76,53,61.36,Debate,322,C
S10219,Maurice Smith,17,Female,10,76,95,45,33,34,99.21,Music,283,D
S10220,Curtis Hansen,13,Male,10,85,58,63,49,53,71.98,Music,308,C
S10221,Peter Anderson,10,Female,11,53,76,88,81,67,74.34,Football,365,C
S10222,Brendan Price,13,Male,12,69,94,59,97,44,90.9,Debate,363,C
S10223,Paul Munoz,14,Female,12,52,66,41,80,76,87.76,Dance,315,C
S10224,Jordan Phillips,17,Female,9,85,83,84,65,30,92.35,None,347,C
S10225,Monica Cook,16,Female,8,95,82,47,93,84,72.22,Football,401,B
S10226,Michelle Lane,17,Male,7,48,32,40,65,93,95.02,Drama,278,D
S10227,Randall Curtis,10,Male,10,34,53,90,44,94,79.98,Music,315,C
S10228,Cheryl Ingram,13,Male,11,88,71,68,98,52,94.93,Debate,377,C
S10229,Jessica Mata,15,Female,11,36,76,36,42,73,89.75,Music,263,D
S10230,Robert Clarke,10,Male,11,48,30,94,97,36,66.44,Football,305,C
S10231,Sandra Garcia,12,Male,7,66,62,59,70,52,89.65,Music,309,C
