StudentID,Name,Skills
S01,Aarav,"JAVA"
S02,Meera,"JAVA;REACT"
S03,Kabir,"PYTHON;SQL"
S04,Diya,"REACT;HTML"
S05,Vihaan,"JAVA;SQL"
S06,Ananya,"PYTHON;ML"
S07,Reyansh,"JAVA;REACT;SQL"
S08,Ishita,"HTML;REACT"
S09,Aditya,"PYTHON;CLOUD"
S10,Saanvi,"JAVA"
S11,Arjun,"NODE;JAVA"
S12,Priya,"SQL"
S13,Vivaan,"PYTHON;SQL;CLOUD"
S14,Anika,"REACT"
S15,Reyan,"JAVA;CLOUD"
S16,Myra,"ML;PYTHON"
S17,Kian,"NODE;REACT"
S18,Aadhya,"HTML"
S19,Arnav,"JAVA;REACT;CLOUD"
S20,Navya,"SQL;PYTHON"
S21,Dhruv,"CLOUD"
S22,Pihu,"ML"
S23,Yuvan,"JAVA;NODE;SQL"
S24,Riya,"REACT;HTML;JAVA"
